n,method,value,ops,time_ms
65,iterative,17167680177565,64,0.000203700
65,memoization,17167680177565,64,0.001126500
66,iterative,27777890035288,65,0.000206700
66,memoization,27777890035288,65,0.001019750
67,iterative,44945570212853,66,0.000210440
67,memoization,44945570212853,66,0.001144900
68,iterative,72723460248141,67,0.000213520
68,memoization,72723460248141,67,0.001051950
69,iterative,117669030460994,68,0.000217860
69,memoization,117669030460994,68,0.001181450
70,iterative,190392490709135,69,0.000220340
70,memoization,190392490709135,69,0.001080600
71,iterative,308061521170129,70,0.000223240
71,memoization,308061521170129,70,0.001224400
72,iterative,498454011879264,71,0.000226300
72,memoization,498454011879264,71,0.001108750
73,iterative,806515533049393,72,0.000230340
73,memoization,806515533049393,72,0.001269200
74,iterative,1304969544928657,73,0.000233220
74,memoization,1304969544928657,73,0.001137400
75,iterative,2111485077978050,74,0.000236220
75,memoization,2111485077978050,74,0.001264300
76,iterative,3416454622906707,75,0.000239800
76,memoization,3416454622906707,75,0.001170500
77,iterative,5527939700884757,76,0.000242940
77,memoization,5527939700884757,76,0.001336050
78,iterative,8944394323791464,77,0.000245700
78,memoization,8944394323791464,77,0.001201600
79,iterative,14472334024676221,78,0.000249360
79,memoization,14472334024676221,78,0.001328250
80,iterative,23416728348467685,79,0.000252520
80,memoization,23416728348467685,79,0.001237300
81,iterative,37889062373143906,80,0.000255500
81,memoization,37889062373143906,80,0.001365350
82,iterative,61305790721611591,81,0.000259440
82,memoization,61305790721611591,81,0.001266200
83,iterative,99194853094755497,82,0.000262460
83,memoization,99194853094755497,82,0.001401050
84,iterative,160500643816367088,83,0.000265460
84,memoization,160500643816367088,83,0.001295350
85,iterative,259695496911122585,84,0.000269540
85,memoization,259695496911122585,84,0.001446500
86,iterative,420196140727489673,85,0.000284200
86,memoization,420196140727489673,85,0.001328650
87,iterative,679891637638612258,86,0.000278580
87,memoization,679891637638612258,86,0.001454400
88,iterative,1100087778366101931,87,0.000278460
88,memoization,1100087778366101931,87,0.001363100
89,iterative,1779979416004714189,88,0.000282000
89,memoization,1779979416004714189,88,0.001494250
90,iterative,2880067194370816120,89,0.000284620
90,memoization,2880067194370816120,89,0.001397000
